#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1680262346588234100,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262346921251700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262346921251700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262346921251700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262347253745500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262347253745500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262347253745500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262347587689000,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262347587689000,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262347587689000,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262347920606700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262347920606700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262347920606700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262348254442700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262348254442700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262348254442700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262348587678500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
