#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1680262352325470100,-0.000760369,0.000131453,0.000479497,0.10537,0.411863,-9.81019
1680262352333495600,-0.00217272,-0.000408204,-0.000275494,0.180722,0.432436,-9.77451
1680262352341864800,-5.1581e-05,-0.00080133,0.000527763,0.164811,0.446529,-9.80315
1680262352350103200,0.000902644,0.00138292,-0.00109581,0.16398,0.419321,-9.77819
1680262352358424700,0.000797519,-0.000806543,0.000735948,0.201191,0.464563,-9.8466
1680262352366885700,-0.00131359,-0.0012999,0.000214889,0.200272,0.430252,-9.78191
1680262352375157500,0.000572011,0.000431813,-0.000560297,0.160927,0.40963,-9.78191
1680262352383437400,0.000478149,-0.00112742,0.00126211,0.179819,0.46123,-9.78151
1680262352392904400,0.000567913,0.000390416,0.00075175,0.163709,0.425703,-9.80642
1680262352400178100,0.00173353,0.000575119,-0.000625694,0.189794,0.413649,-9.80478
1680262352408333800,0.00163063,0.00109774,-0.00186466,0.171188,0.419992,-9.73997
1680262352416804800,0.000561103,0.000416162,-0.00238183,0.165869,0.397765,-9.81117
1680262352425299100,0.000348193,0.00034696,0.000923515,0.159155,0.328162,-9.78671
1680262352433403100,-0.000504682,0.00129713,-0.000693932,0.145899,0.389515,-9.7893
1680262352441663800,0.000260713,-0.00181487,0.00215666,0.116271,0.433257,-9.77006
1680262352450049200,0.000821413,0.000279694,4.82303e-05,0.177345,0.43952,-9.83125
1680262352458412500,0.000927697,0.000610001,0.000608726,0.186309,0.447282,-9.76199
1680262352466813800,0.000866448,-0.000383941,-0.000415402,0.173641,0.397828,-9.78909
1680262352474993500,-0.00151677,0.00025819,-0.000578309,0.182523,0.3989,-9.77353
1680262352483400300,-0.000666766,0.000612348,-0.00127304,0.171475,0.429042,-9.85728
1680262352491786600,-0.00073274,-0.000784185,0.000702931,0.199067,0.447855,-9.77862
1680262352500035800,-0.000268969,0.00026345,-0.000303768,0.167933,0.451513,-9.80786
1680262352508307200,0.000367267,9.79691e-05,-0.000888776,0.164779,0.45465,-9.79719
1680262352516711700,0.00121504,-0.000584762,-0.00104762,0.188648,0.380833,-9.78531
1680262352524974600,-0.000215814,-0.00182471,-0.000874605,0.173578,0.38381,-9.76677
1680262352533367900,3.82462e-05,-0.000766567,0.000278836,0.175706,0.384235,-9.79475
1680262352541618100,0.00254058,-0.000441792,-0.00156276,0.170443,0.459451,-9.7793
1680262352550044100,0.000180131,0.00097532,-0.000593649,0.154852,0.402754,-9.79692
1680262352558317300,-0.00053128,-0.000441625,8.08999e-06,0.160071,0.387723,-9.79291
1680262352566874000,0.000614295,3.39453e-05,-0.00138426,0.175252,0.443421,-9.77354
1680262352575004500,-0.000436218,0.000240816,-0.00174784,0.167736,0.411116,-9.77282
1680262352583415500,-8.46829e-05,-0.000490034,-0.00132891,0.183944,0.413629,-9.84216
1680262352591631700,-0.000263325,-0.000780777,-0.000775749,0.111916,0.425341,-9.76682
1680262352600062700,0.00148788,-0.00130888,0.000574767,0.159268,0.409527,-9.79841
1680262352608466900,-0.000442974,0.00199698,-0.00236843,0.19918,0.465994,-9.82279
1680262352616783000,8.60142e-05,0.00214948,-0.00144702,0.200059,0.405144,-9.77021
1680262352624974900,-0.000603008,-0.000575056,-9.42463e-06,0.182728,0.399448,-9.85425
1680262352633384800,0.000592107,-0.000640884,0.00108289,0.199494,0.421128,-9.78611
1680262352641735400,-0.000186879,-0.000272724,-0.000128087,0.140768,0.408163,-9.75775
1680262352650033600,0.000749766,-0.000556669,0.000352218,0.128773,0.426564,-9.78247
1680262352658296400,0.000730013,0.000445431,-0.000671475,0.162574,0.447814,-9.77229
1680262352666711100,0.000887918,-0.0014936,0.000145243,0.171209,0.442532,-9.81124
1680262352675092200,0.000289075,0.000398254,0.000825984,0.135469,0.367989,-9.78797
1680262352683427100,-2.92068e-05,-0.000364278,-0.000632037,0.143078,0.449349,-9.82868
1680262352691661100,0.000618644,-0.000223509,-0.00116104,0.143476,0.440436,-9.82465
1680262352700067100,0.000154598,-0.000491236,0.000546429,0.188859,0.422302,-9.77697
1680262352708315800,0.000836593,0.000142416,-0.000660997,0.163865,0.430159,-9.79865
1680262352716707800,-0.00017588,0.000199166,0.000698566,0.178884,0.398809,-9.78014
1680262352724971800,0.00156936,-0.000148518,0.000388192,0.156601,0.401892,-9.77785
1680262352733384800,-0.00036657,0.000680871,-3.74979e-05,0.168936,0.404136,-9.74987
1680262352741669800,8.6454e-05,-3.04912e-05,0.00132838,0.165476,0.443897,-9.77861
1680262352750033900,-0.000118081,0.000256074,-0.000814233,0.147868,0.379462,-9.79923
1680262352758428400,-0.000674942,0.000381017,0.00176442,0.160599,0.399423,-9.76062
1680262352766897800,-0.000725203,-0.000153655,-0.000534983,0.201247,0.428699,-9.81044
1680262352774976500,0.000129049,0.000943755,0.00130133,0.185863,0.425341,-9.81974
1680262352783381300,6.92171e-06,-0.000416431,0.00114824,0.138958,0.411677,-9.78219
1680262352791628000,0.000227435,0.000505778,-0.00105831,0.156898,0.437756,-9.77789
1680262352800053300,5.59632e-05,-0.000223031,0.00261151,0.120499,0.415084,-9.82371
1680262352808300300,-0.00142055,0.000113946,-0.00122282,0.156949,0.417293,-9.73642
1680262352816869900,0.000106292,-0.00108022,0.00137514,0.169505,0.414233,-9.78586
1680262352825014300,8.3044e-05,0.000679895,-0.000633795,0.157001,0.382973,-9.77387
1680262352833428500,0.000773438,-0.000971342,0.000922835,0.167999,0.438225,-9.76609
1680262352841645100,0.000525818,6.68547e-06,-0.000372147,0.153187,0.448235,-9.77485
1680262352850046200,2.78184e-05,0.000402936,0.00144371,0.195716,0.379647,-9.79232
1680262352858373900,-0.000191518,-0.000803291,-0.0004926,0.218274,0.409185,-9.72768
1680262352866795800,0.0016055,-0.000716567,-0.000182403,0.184466,0.450119,-9.77555
1680262352875154200,0.00115195,0.000223844,-0.00179797,0.211606,0.385374,-9.80584
1680262352883718900,-0.000493966,-0.00132587,0.000639432,0.0937529,0.390219,-9.79921
1680262352891791300,0.000248026,0.000413768,0.000987638,0.156871,0.37325,-9.77589
1680262352900130600,-0.000156049,2.56876e-05,0.00142268,0.116465,0.396874,-9.77417
1680262352908496700,-0.00139197,0.000246486,-0.000537273,0.173448,0.390913,-9.77501
1680262352916877900,0.00107392,0.00051357,-0.000487628,0.15172,0.406479,-9.78917
1680262352925074600,0.00104028,-0.000805126,-0.00042594,0.157227,0.395024,-9.80861
1680262352933445800,0.000542576,0.00187663,5.91177e-05,0.188936,0.402495,-9.7575
1680262352941642700,-0.000652864,0.000351294,-0.000200561,0.182607,0.431769,-9.81762
1680262352950159100,0.0011995,0.00108906,0.000158801,0.16887,0.447708,-9.77645
1680262352958355100,0.000156565,0.00146256,-0.00150887,0.146149,0.405271,-9.78276
1680262352966741000,-0.0026733,0.000520934,-0.000647181,0.164864,0.441466,-9.76867
1680262352974992700,0.00077192,-0.000759326,-0.000908881,0.180516,0.39277,-9.78232
1680262352983564500,-0.000599065,5.67432e-05,0.000805377,0.155854,0.426509,-9.80571
1680262352991681100,-0.00100998,-0.00270634,-0.000770252,0.153435,0.366988,-9.77626
1680262353000046500,-0.00143054,-0.000640188,-0.0012332,0.134032,0.422728,-9.8105
1680262353008305700,0.000761574,-0.000804786,-0.00210233,0.178018,0.360769,-9.80676
1680262353017005000,-0.00084484,0.000910003,0.000311802,0.122793,0.443083,-9.78143
1680262353025053800,-0.0014051,-0.00122133,0.00113188,0.121591,0.377965,-9.78643
1680262353033446800,0.000339578,0.00198174,0.000108267,0.158049,0.450949,-9.78523
1680262353041656100,0.0003486,-0.000401195,0.000132622,0.170602,0.405376,-9.82388
1680262353050334100,-0.000581569,0.000615494,-0.00114077,0.149933,0.432329,-9.81374
1680262353058420700,0.000196355,0.00116075,-6.99717e-05,0.16081,0.423679,-9.80657
1680262353066732900,0.001361,0.000542679,-0.000194147,0.128074,0.402408,-9.76971
1680262353074981800,0.000209868,-0.00133221,0.000107169,0.229971,0.424892,-9.79904
1680262353083525500,-0.000217624,-0.00168469,0.000943014,0.206036,0.439055,-9.79893
1680262353091729800,5.54226e-05,-0.000169466,0.000714745,0.164159,0.409756,-9.78694
1680262353100168300,-0.000965924,-6.72789e-05,0.000340407,0.167332,0.430333,-9.81139
1680262353108484600,-0.000972213,-0.000149943,-0.00167113,0.16759,0.423604,-9.7979
1680262353116774500,-0.000808786,-0.00112263,0.00144546,0.135782,0.462299,-9.78541
1680262353125036200,0.000820916,-6.37553e-05,0.00160004,0.198965,0.419055,-9.81228
1680262353133550200,0.000939213,0.000786013,0.00113115,0.199682,0.474699,-9.82094
1680262353141688500,0.000379835,0.0010098,-0.000467002,0.180465,0.429882,-9.82984
1680262353150129800,0.000586464,0.000139089,-0.000309154,0.170128,0.399852,-9.82549
1680262353158316500,-0.000779668,0.00149579,0.00146519,0.128456,0.421993,-9.82054
1680262353166709400,0.000505332,0.000907846,0.000312642,0.22151,0.415858,-9.80567
1680262353174995200,0.000261195,0.00120802,0.00195506,0.147117,0.436696,-9.76511
1680262353183383800,-0.000152936,-0.000588579,-0.000198243,0.135417,0.387349,-9.83928
1680262353191643300,0.00140382,0.000613042,-0.000572548,0.193259,0.436882,-9.80046
1680262353200072400,-0.000339185,-0.000936943,-0.000898615,0.222757,0.394384,-9.78342
1680262353208328700,0.000649759,-0.00131781,-0.00195773,0.172189,0.388435,-9.7778
1680262353216729900,-0.000256797,-0.00151727,-4.49254e-05,0.179062,0.387773,-9.77483
1680262353224977900,0.0014188,-0.00163679,0.00192242,0.17226,0.3738,-9.78066
1680262353233392400,-0.00130887,-0.000650249,-0.000220932,0.187097,0.395855,-9.77737
1680262353241679700,0.000240582,-0.000485862,0.000586619,0.205534,0.457486,-9.85497
1680262353250072400,0.000330279,0.000505422,0.0013499,0.168321,0.454433,-9.77662
1680262353258289400,-0.000451732,0.0004934,-0.000903138,0.203602,0.42216,-9.78045
1680262353266745100,-3.53262e-06,0.0010477,-8.29578e-05,0.141142,0.453668,-9.77055
1680262353274977300,-0.000462441,0.00102911,-0.000794569,0.125666,0.49501,-9.80146
1680262353284458300,0.000635185,0.00148059,0.000631825,0.173293,0.412501,-9.81482
1680262353291644100,-0.0003951,-0.00161414,0.000263614,0.119632,0.415208,-9.79165
1680262353300177700,-0.000117623,-0.00146271,0.000801224,0.180847,0.414418,-9.81117
1680262353308351000,0.000771001,0.000343565,0.000183033,0.176462,0.373337,-9.83914
1680262353316771500,0.000441172,0.000197393,0.000385119,0.166889,0.387823,-9.76572
1680262353324995200,0.00015602,0.000898367,-0.00197616,0.177537,0.418544,-9.79837
1680262353333481900,-0.00102318,0.000489606,0.00101006,0.131667,0.416711,-9.79081
1680262353341635600,-0.000832924,-0.000623419,-0.00119886,0.160649,0.428905,-9.82802
1680262353350072100,0.0003178,0.000201046,1.09161e-05,0.182804,0.436654,-9.79721
1680262353358311900,-0.000312238,-0.000346363,-0.000284928,0.220911,0.436295,-9.77875
1680262353366722000,-5.29478e-05,0.00158863,0.00181888,0.204453,0.43522,-9.81203
1680262353374992200,0.000164291,-2.16906e-05,-0.00148063,0.170598,0.409786,-9.75001
1680262353383541200,-0.000794149,0.000854076,-0.00143843,0.156773,0.424135,-9.79386
1680262353392475500,0.000126898,0.000591285,-0.000803664,0.152605,0.354719,-9.81807
1680262353400116700,0.000759311,0.000329666,-0.000274972,0.1661,0.438206,-9.77256
1680262353408346000,0.000232133,-0.000134521,5.26503e-05,0.12632,0.384097,-9.79693
1680262353416729600,0.000923343,7.46001e-05,0.00124924,0.172253,0.448753,-9.74258
1680262353424973300,0.000595463,-0.00131958,8.27334e-05,0.134134,0.402189,-9.7652
1680262353433381300,0.000763664,0.00165423,-0.00183147,0.140216,0.401548,-9.81375
1680262353441633800,0.000442196,-0.000560909,-0.000579106,0.174566,0.457643,-9.82116
1680262353450093800,0.00141062,0.00147357,0.000343215,0.166633,0.417774,-9.82856
1680262353458284500,-0.000882353,-0.000491736,0.000201252,0.170789,0.39881,-9.82371
1680262353466711900,-0.000316753,-0.000730403,-0.000491531,0.20495,0.44788,-9.74346
1680262353474996400,-0.00175635,-0.00216566,0.000579002,0.133629,0.415014,-9.77006
1680262353483383300,0.000604569,0.00034483,0.000188638,0.170822,0.439994,-9.77067
1680262353491624500,5.2476e-05,0.00118165,-0.000430497,0.177215,0.404874,-9.79722
1680262353500035000,0.00035325,-0.000147654,0.000164196,0.168895,0.386195,-9.76708
1680262353508303000,-0.000698414,0.00137693,-0.000309416,0.170742,0.406895,-9.79769
1680262353516877300,0.00065733,-0.0012074,-0.000259198,0.16049,0.398737,-9.76265
1680262353525078500,0.000426938,0.000845688,0.000992924,0.19247,0.388477,-9.78934
1680262353533407800,-0.00140977,0.000375326,-1.7667e-05,0.177475,0.462111,-9.79258
1680262353541656900,0.000100481,-5.02611e-05,0.000463692,0.110295,0.363908,-9.80326
1680262353550067300,-0.00136415,0.000560842,0.000447439,0.148586,0.421832,-9.79526
1680262353558304400,-9.87109e-05,-0.000277531,-0.000906736,0.181733,0.401552,-9.81954
1680262353566709100,3.35515e-05,0.00129959,-0.000845702,0.165237,0.431395,-9.76045
1680262353574968500,0.000895747,0.00050025,0.000216311,0.136371,0.426207,-9.78992
1680262353583373300,0.000807205,-0.000754873,0.000491676,0.149537,0.413657,-9.80558
1680262353591668900,0.000862568,0.000234996,-0.0029332,0.145506,0.443867,-9.8205
1680262353600055200,-5.72758e-05,-0.00237413,-0.000123739,0.200298,0.402192,-9.7985
1680262353608314700,-0.000652502,-0.000703267,0.0010995,0.146525,0.405036,-9.79932
1680262353616710700,3.02607e-05,-0.00138473,-0.000573942,0.100601,0.448447,-9.81868
1680262353624987800,-0.0013599,-7.83423e-05,0.000113125,0.132788,0.410992,-9.74536
1680262353633375700,9.49933e-06,-0.00025156,0.000447772,0.15699,0.422472,-9.77
1680262353641651600,-0.00134095,-0.000203623,0.000699872,0.19208,0.418344,-9.8055
1680262353650054800,-0.000367568,0.000272303,0.00107021,0.171455,0.473331,-9.81081
1680262353658318700,-0.00102024,-0.000148392,-0.00180113,0.174842,0.416942,-9.79591
1680262353666727600,-0.000307332,-0.000742451,0.000796806,0.189017,0.415644,-9.84229
1680262353674980700,-0.000145037,-0.000381924,-0.000254667,0.144215,0.425712,-9.80679
1680262353683401300,-0.000917972,0.000221053,0.00090726,0.182504,0.396647,-9.75862
1680262353691670200,-0.000919205,-0.000577744,-0.000344615,0.168818,0.415431,-9.78391
1680262353700043100,0.00204182,0.00158203,0.00104085,0.154929,0.461474,-9.77513
1680262353708309100,-0.00211689,0.00192652,0.000381573,0.156096,0.425856,-9.80481
1680262353716799600,6.48116e-06,0.000198367,-0.000211499,0.0983987,0.403808,-9.79091
1680262353725072100,-0.000595516,-0.000674581,0.000309164,0.154137,0.447001,-9.79656
1680262353733398900,0.000641536,-0.00181659,-0.00165521,0.128743,0.367577,-9.79561
1680262353741651100,0.00159086,0.0012859,0.00215133,0.161417,0.34959,-9.79007
1680262353750092400,-0.000671433,-0.000206052,0.000462643,0.169239,0.411109,-9.82161
1680262353758314000,0.0013178,-5.23855e-05,0.00037429,0.223945,0.448226,-9.82065
1680262353766741600,0.00156315,-0.000271855,-0.001202,0.161143,0.439616,-9.75787
1680262353774989000,3.06629e-05,-0.000758115,-0.000225398,0.175837,0.418693,-9.7992
1680262353783417900,-0.00257948,-0.000937869,0.00125152,0.165624,0.452988,-9.80852
1680262353791643500,-0.00146305,0.000445448,0.00150559,0.177596,0.405122,-9.81805
1680262353800060700,0.00166768,0.00118782,0.00224378,0.147525,0.429061,-9.77248
1680262353808315200,-0.00112658,-0.00152747,-0.000590258,0.156331,0.366617,-9.80283
1680262353816805200,-0.000140835,0.00125583,0.000241578,0.170617,0.400203,-9.76629
1680262353824995000,-0.00103837,-0.000172055,0.000673355,0.143387,0.405206,-9.79623
1680262353833485700,0.00126846,-0.000791507,-0.000561661,0.214422,0.421214,-9.86138
1680262353841715400,0.000464871,0.000114026,-0.000927038,0.241651,0.401364,-9.79747
1680262353850090100,0.000856369,-0.000130452,0.000988664,0.158151,0.421586,-9.73752
1680262353858308900,0.000352386,-0.000660777,-0.00119308,0.1728,0.430551,-9.82031
1680262353866704800,-0.000690916,0.00125244,0.000712023,0.149816,0.405587,-9.8385
1680262353875007500,-7.53268e-06,-0.000176251,-0.000925416,0.177023,0.396734,-9.83312
1680262353883391100,0.000231026,0.00117373,-0.00171298,0.175097,0.419911,-9.73964
1680262353891655100,-0.000396423,0.000251477,-0.000937671,0.133452,0.455678,-9.81629
1680262353900066200,0.000311655,-9.85308e-05,-1.92687e-05,0.168781,0.425242,-9.81773
1680262353908334000,0.00156576,0.000397653,0.000198613,0.175335,0.440119,-9.81359
1680262353916795100,-0.000705287,0.000117827,0.00118333,0.155871,0.380015,-9.76169
1680262353925118900,-0.000413466,-0.000666065,-0.000309887,0.135139,0.420046,-9.74627
1680262353933528000,-7.39835e-05,-0.000181897,0.00033127,0.171278,0.381598,-9.75961
1680262353941684900,-0.00172181,-0.000116256,0.000574926,0.152779,0.420147,-9.79887
1680262353950171000,-0.000112798,0.000327594,-0.000703828,0.167941,0.416705,-9.79481
1680262353958348600,0.000787837,0.000998296,0.000984379,0.137497,0.427927,-9.75695
1680262353966732000,0.00296926,-0.00112777,0.000627619,0.168082,0.412397,-9.82058
1680262353975006600,0.000844022,-0.000929474,-0.00155584,0.168631,0.420152,-9.8051
